Date,Open,High,Low,Close,Adj Close,Volume
2011-07-20,12998.0146484375,17020.0,17080.0,16780.0,16800.0,21079150
2011-07-21,12860.55078125,16840.0,17020.0,16640.0,16920.0,10343550
2011-07-22,12982.736328125,17000.0,17120.0,16840.0,17000.0,12179600
2011-07-25,12936.9169921875,16940.0,17000.0,16680.0,17000.0,9496800
2011-07-26,12982.736328125,17000.0,17020.0,16800.0,16860.0,11259900
2011-07-27,12906.369140625,16900.0,16960.0,16720.0,16960.0,10079450
2011-07-28,12784.1796875,16740.0,16800.0,16520.0,16560.0,13623150
2011-07-29,12891.095703125,16880.0,17040.0,16740.0,16920.0,15089150
2011-08-01,13288.2177734375,17400.0,17500.0,17100.0,17100.0,19432400
2011-08-02,13013.2890625,17040.0,17180.0,17000.0,17060.0,13486550
2011-08-03,12723.0869140625,16660.0,16880.0,16480.0,16800.0,20417200
2011-08-04,12539.7998046875,16420.0,16780.0,16300.0,16780.0,17307750
2011-08-05,12051.0380859375,15780.0,16100.0,15780.0,15840.0,30392500
2011-08-08,11608.0966796875,15200.0,15780.0,15200.0,15400.0,30296350
2011-08-09,11058.2392578125,14480.0,15060.0,13920.0,15000.0,49299200
2011-08-10,10997.1484375,14400.0,15200.0,14400.0,15200.0,49244500
2011-08-11,10813.8583984375,14160.0,14500.0,13760.0,13760.0,39580150
2011-08-12,10798.5869140625,14140.0,14440.0,14000.0,14420.0,33844600
2011-08-16,11455.3583984375,15000.0,15000.0,14520.0,14700.0,30042550
2011-08-17,11485.90625,15040.0,15200.0,14820.0,15020.0,14649850
2011-08-18,10829.130859375,14180.0,14980.0,14060.0,14960.0,35336000
2011-08-19,10386.1904296875,13600.0,13940.0,13440.0,13760.0,28970600
2011-08-22,10554.201171875,13820.0,14040.0,13660.0,13680.0,20900650
2011-08-23,11042.96484375,14460.0,14700.0,13980.0,14000.0,24617300
2011-08-24,10813.8583984375,14160.0,14700.0,14000.0,14480.0,18508650
2011-08-25,11073.5126953125,14500.0,14760.0,14420.0,14740.0,19039800
2011-08-26,11088.7880859375,14520.0,14680.0,14340.0,14340.0,10612300
2011-08-29,11195.7041015625,14660.0,14840.0,14480.0,14840.0,13001850
2011-08-30,11333.169921875,14840.0,14960.0,14720.0,14820.0,12629600
2011-08-31,11363.7138671875,14880.0,14940.0,14620.0,14940.0,14495500
2011-09-01,11776.1064453125,15420.0,15760.0,14880.0,15180.0,35833750
2011-09-02,11745.5625,15380.0,15620.0,15260.0,15300.0,12915400
2011-09-05,11165.1552734375,14620.0,15120.0,14600.0,15100.0,13853900
2011-09-06,11104.0615234375,14540.0,14720.0,14200.0,14520.0,13213350
2011-09-07,11806.6572265625,15460.0,15560.0,14660.0,14660.0,17512500
2011-09-08,12188.501953125,15960.0,16040.0,15560.0,15600.0,28730500
2011-09-09,11913.5732421875,15600.0,16240.0,15540.0,15700.0,18082650
2011-09-14,11501.1806640625,15060.0,15620.0,14820.0,15600.0,27540950
2011-09-15,11776.1064453125,15420.0,15680.0,15300.0,15680.0,21318350
2011-09-16,12188.501953125,15960.0,16220.0,15840.0,15880.0,23811100
2011-09-19,12341.240234375,16160.0,16280.0,15760.0,16000.0,12327650
2011-09-20,12387.05859375,16220.0,16360.0,15920.0,16220.0,13997500
2011-09-21,12417.609375,16260.0,16560.0,16020.0,16380.0,17063100
2011-09-22,12066.3125,15800.0,16000.0,15560.0,15920.0,15331100
2011-09-23,11577.548828125,15160.0,15600.0,15020.0,15280.0,21822900
2011-09-26,11837.2060546875,15500.0,15740.0,15180.0,15200.0,24018800
2011-09-27,12280.1435546875,16080.0,16100.0,15820.0,16100.0,16526300
2011-09-28,12325.966796875,16140.0,16500.0,15820.0,16480.0,24316950
2011-09-29,12784.1796875,16740.0,16960.0,16080.0,16080.0,27675450
2011-09-30,12829.9990234375,16800.0,16800.0,16220.0,16600.0,25780600
2011-10-04,12646.7138671875,16560.0,16640.0,15920.0,16100.0,32895000
2011-10-05,12860.55078125,16840.0,17000.0,16340.0,16480.0,32102800
2011-10-06,13059.109375,17100.0,17580.0,16840.0,17480.0,29969000
2011-10-07,13135.4775390625,17200.0,17620.0,17000.0,17300.0,26509200
2011-10-10,13349.3125,17480.0,17700.0,17440.0,17560.0,17246250
2011-10-11,13456.228515625,17620.0,17700.0,17380.0,17700.0,22915500
2011-10-12,13715.8818359375,17960.0,17980.0,17400.0,17440.0,21528500
2011-10-13,13593.69140625,17800.0,17980.0,17620.0,17960.0,16266150
2011-10-14,13532.5986328125,17720.0,17880.0,17420.0,17420.0,10850500
2011-10-17,13593.69140625,17800.0,17900.0,17620.0,17800.0,10675550
2011-10-18,13486.77734375,17660.0,17860.0,17420.0,17500.0,13844300
2011-10-19,13532.5986328125,17720.0,17720.0,17400.0,17700.0,10704100
2011-10-20,13853.3427734375,18140.0,18400.0,17660.0,17720.0,28436600
2011-10-21,14006.0830078125,18340.0,18500.0,18140.0,18400.0,23307000
2011-10-24,14372.658203125,18820.0,18860.0,18220.0,18260.0,18769250
2011-10-25,14433.7490234375,18900.0,19020.0,18700.0,18720.0,18208000
2011-10-26,14265.7421875,18680.0,18920.0,18540.0,18660.0,12504750
2011-10-27,14113.0048828125,18480.0,18780.0,18380.0,18580.0,17443050
2011-10-28,14433.7490234375,18900.0,18920.0,18540.0,18560.0,26884350
2011-10-31,14785.0517578125,19360.0,19400.0,18660.0,18820.0,23792400
2011-11-01,15121.0751953125,19800.0,19980.0,19240.0,19360.0,30983650
2011-11-02,14830.8740234375,19420.0,19560.0,19320.0,19400.0,28454600
2011-11-03,14769.7744140625,19340.0,19420.0,19160.0,19240.0,16408700
2011-11-04,15350.1796875,20100.0,20100.0,19640.0,19660.0,26704800
2011-11-07,15166.900390625,19860.0,20000.0,19720.0,19920.0,14018050
2011-11-08,14815.5986328125,19400.0,19800.0,19300.0,19720.0,17069900
2011-11-09,15044.705078125,19700.0,19760.0,19320.0,19400.0,19304250
2011-11-10,14281.013671875,18700.0,19460.0,18700.0,19340.0,31006050
2011-11-11,15014.154296875,19660.0,19680.0,18600.0,18900.0,24246750
2011-11-14,15212.7216796875,19920.0,20040.0,19740.0,19760.0,14136050
2011-11-15,15212.7216796875,19920.0,20000.0,19600.0,19720.0,11737100
2011-11-16,14891.96875,19500.0,20060.0,19460.0,19900.0,16934350
2011-11-17,14968.337890625,19600.0,19840.0,19220.0,19640.0,12943350
2011-11-18,14708.68359375,19260.0,19540.0,19240.0,19420.0,16310300
